#Tail	Head	PosReg	NegReg	ID
http://pathwaycommons.org/pc12/Complex_bccc1ef99c2f424c65c0dd09c602b54a	http://pathwaycommons.org/pc12/Complex_818779fe11f9eb702711cd31a210f683	http://pathwaycommons.org/pc12/Pathway_ae44479b68df8ccf5164119b0b5b7dd3	None	http://pathwaycommons.org/pc12/BiochemicalReaction_a6d3162d5944c6bdeee26d1002ca3169
http://pathwaycommons.org/pc12/Complex_05697dd991d5fc1cd645a0044b7c11b3;http://pathwaycommons.org/pc12/Complex_46f99a13ca1b39c8d93926b9b394c395	http://pathwaycommons.org/pc12/Complex_97b347f1df5c5f24a935e2f97daf55b6;http://pathwaycommons.org/pc12/Protein_845ef532b42131e8fdf3fa11276bf218;http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_13414e2bf0c0f82112e6067051d14245
http://pathwaycommons.org/pc12/Complex_1c217b4dd23f78983e326d5b6abe9cd1	http://pathwaycommons.org/pc12/Complex_8fdc1a75607ecbdc3762445ece9f0ce2	http://pathwaycommons.org/pc12/Protein_aaaae745e1864ff387f8a0db2b9e20d1	None	http://pathwaycommons.org/pc12/BiochemicalReaction_ebd91bba50543af77823372540a2066d
http://pathwaycommons.org/pc12/Protein_6e8088a147ede6caedd0475ef773e070;http://pathwaycommons.org/pc12/Protein_aa1569dcc809c574266c0a80792a5995	http://pathwaycommons.org/pc12/Complex_b2e30819043259ae9754ad9c241c3fca	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_5c0a43501a14c861c1d907de1df424c2
http://pathwaycommons.org/pc12/Complex_4aa96bf14d50c82fed5ef4697f1ce7ce	http://pathwaycommons.org/pc12/Complex_46f99a13ca1b39c8d93926b9b394c395;http://pathwaycommons.org/pc12/Protein_bdf326eedb65f7fe6a0259c5cb8c4ed4	http://pathwaycommons.org/pc12/Protein_118b7b44db516612d3699f221a1d1a7e	None	http://pathwaycommons.org/pc12/ComplexAssembly_70327ad2a0d25cae5adfd3ac339114a8
http://pathwaycommons.org/pc12/Complex_1c217b4dd23f78983e326d5b6abe9cd1	http://pathwaycommons.org/pc12/Complex_05697dd991d5fc1cd645a0044b7c11b3	http://pathwaycommons.org/pc12/SmallMolecule_9a60aefd77ea0eab7330e6b59b4e32d1	None	http://pathwaycommons.org/pc12/BiochemicalReaction_ff1ad1a4a510ef27afaa8ef5ffd9eed4
http://pathwaycommons.org/pc12/SmallMolecule_12dfdb9160961a098fe3b18b400c6460	http://pathwaycommons.org/pc12/SmallMolecule_d945f2e721fd1cb3ad6be17b8d5a5e2f	http://pathwaycommons.org/pc12/Protein_b8c41dfc1ff1a997ae13e27a7b8c059d	None	http://pathwaycommons.org/pc12/BiochemicalReaction_199234f1e60473bb4ae1c57fdbd26013
http://pathwaycommons.org/pc12/Complex_818779fe11f9eb702711cd31a210f683;http://pathwaycommons.org/pc12/Complex_e605105f125c44e122ca0d1030305a09	http://pathwaycommons.org/pc12/Complex_1d87c7e06cda9af181e1377f4b7e39c3	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_d866dd9960e9f136b455ed78b571e329
http://pathwaycommons.org/pc12/SmallMolecule_d945f2e721fd1cb3ad6be17b8d5a5e2f	http://pathwaycommons.org/pc12/SmallMolecule_9a60aefd77ea0eab7330e6b59b4e32d1	http://pathwaycommons.org/pc12/Protein_80065fc205011c383c39a7a8942e6d04	None	http://pathwaycommons.org/pc12/BiochemicalReaction_9d18dbeb85c46ca7b2f317907387a43d
http://pathwaycommons.org/pc12/Complex_bcadede923b5104707042fdcf59c3fd0	http://pathwaycommons.org/pc12/Complex_dccf301bd3ab92fa5cdb68e08be54b05	http://pathwaycommons.org/pc12/Protein_aaaae745e1864ff387f8a0db2b9e20d1	None	http://pathwaycommons.org/pc12/BiochemicalReaction_bec52d6ae9b4be8b9396dc329f10c87b
http://pathwaycommons.org/pc12/Complex_1d87c7e06cda9af181e1377f4b7e39c3	http://pathwaycommons.org/pc12/Complex_48885f51a567859c2d15387aa9107afc	http://pathwaycommons.org/pc12/Complex_dccf301bd3ab92fa5cdb68e08be54b05	None	http://pathwaycommons.org/pc12/BiochemicalReaction_47cc2f10543c70cd159c95642901e716
